Element Type,Text,URL,Raw
Hyperlink,,https://www.aia.com.hk//en.html,"<a class=""cmp-navigation2__brand-link"" href=""/en.html"">
<img alt="""" class=""cmp-navigation2__brand-logo"" src=""/content/dam/group-wise/images/system/icons/aia-logo-red.svg""/>
</a>"
Hyperlink,Contact Us,https://www.aia.com.hk//en/help-and-support/contact-us,"<a href=""/en/help-and-support/contact-us"">
<button class=""cmp-navigation2__button cmp-x3__button cmp-x3__button__primary cmp-x3__button__small"" type=""button"">
<span class=""cmp-navigation2__contact-text"">Contact Us</span>
</button>
</a>"
Hyperlink,,https://www.aia.com.hk//en.html,"<a class=""cmp-navigation2__brand-link"" href=""/en.html"">
<img alt="""" class=""cmp-navigation2__brand-logo"" src=""/content/dam/group-wise/images/system/icons/aia-logo-red.svg""/>
</a>"
Hyperlink,,,"<a class=""cmp-sitesearch__search-header--logo"" href=""#""><img alt=""aia"" src=""/etc.clientlibs/aia-hk-wise/clientlibs/clientlib-site/resources/images/icons/aia-logo-red.svg""/></a>"
Hyperlink,Clear,,"<a href=""#"" id=""cmp-sitesearch__clear-recent-search-text"">
<p>Clear</p>
</a>"
Hyperlink,Health,https://www.aia.com.hk//en/products/health,"<a class=""cmp-navigation2__item-link-text cmp-navigation2__item-link-text-level-1"" data-cmp-clickable="""" href=""/en/products/health"" title=""Health"">Health
            </a>"
Hyperlink,Critical Illness Protection,https://www.aia.com.hk//en/products/health/critical-illness,"<a class=""cmp-navigation2__item-link-text cmp-navigation2__item-link-text-level-2 cmp-navigation2__item-link-text--productlevel2"" data-cmp-clickable="""" href=""/en/products/health/critical-illness"" title=""Critical Illness Protection"">Critical Illness Protection
            </a>"
Hyperlink,Medical Protection,https://www.aia.com.hk//en/products/health/medical-protection,"<a class=""cmp-navigation2__item-link-text cmp-navigation2__item-link-text-level-2 cmp-navigation2__item-link-text--productlevel2"" data-cmp-clickable="""" href=""/en/products/health/medical-protection"" title=""Medical Protection"">Medical Protection
            </a>"
Hyperlink,Voluntary Health Insurance Scheme,https://www.aia.com.hk//en/products/health/voluntary-health-insurance-scheme,"<a class=""cmp-navigation2__item-link-text cmp-navigation2__item-link-text-level-2 cmp-navigation2__item-link-text--productlevel2"" data-cmp-clickable="""" href=""/en/products/health/voluntary-health-insurance-scheme"" title=""Voluntary Health Insurance Scheme"">Voluntary Health Insurance Scheme
            </a>"
Hyperlink,Severity-based Health Protection,https://www.aia.com.hk//en/products/health/severity-based-health-protection,"<a class=""cmp-navigation2__item-link-text cmp-navigation2__item-link-text-level-2 cmp-navigation2__item-link-text--productlevel2"" data-cmp-clickable="""" href=""/en/products/health/severity-based-health-protection"" title=""Severity-based Health Protection"">Severity-based Health Protection
            </a>"
